name,stars,forks,watchers,open_issues,primary_language,languages,created_at,updated_at
legado,32743,4174,32743,89,Kotlin,"['Kotlin', 'Java', 'HTML', 'CSS', 'Vue', 'TypeScript', 'JavaScript', 'Roff', 'AMPL', 'Batchfile', 'Shell']",2019-05-22T04:18:58Z,2025-03-03T19:57:34Z
plane,32722,1983,32722,439,TypeScript,"['TypeScript', 'Python', 'HTML', 'JavaScript', 'CSS', 'Shell', 'Nix', 'Dockerfile', 'Procfile']",2022-11-19T12:55:01Z,2025-03-03T21:05:41Z
poetry,32703,2329,32703,526,Python,"['Python', 'HTML']",2018-02-28T15:23:47Z,2025-03-03T21:31:17Z
chatbox,32697,3104,32697,602,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'EJS', 'Shell', 'Dockerfile']",2023-03-06T12:22:15Z,2025-03-03T21:40:54Z
ShadowsocksX-NG,32652,7936,32652,312,Swift,"['Swift', 'Objective-C', 'Shell', 'Python', 'Rich Text Format', 'Makefile', 'Ruby', 'C']",2016-06-10T11:49:00Z,2025-03-03T14:52:33Z
carbon-lang,32649,1486,32649,134,C++,"['C++', 'Starlark', 'Python', 'Carbon', 'JavaScript', 'C', 'Shell', 'Vim Script', 'HTML', 'Dockerfile', 'Scheme', 'SCSS', 'TypeScript', 'Yacc', 'Lua', 'Lex', 'Ruby', 'GDB', 'Makefile']",2020-04-27T21:45:16Z,2025-03-03T20:29:29Z
cline,32648,3179,32648,432,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'HTML']",2024-07-06T07:28:10Z,2025-03-03T21:49:34Z
Python,32628,12434,32628,404,Python,"['Python', 'Jupyter Notebook', 'Tcl', 'HTML', 'Java', 'Makefile', 'JavaScript', 'C++']",2011-11-30T09:04:08Z,2025-03-03T21:27:46Z
siyuan,32613,1989,32613,336,TypeScript,"['TypeScript', 'Go', 'JavaScript', 'SCSS', 'HTML', 'CSS', 'Smarty', 'Shell', 'Python', 'NSIS', 'Batchfile', 'Dockerfile']",2020-08-30T09:21:35Z,2025-03-03T20:33:56Z
engineering-blogs,32606,1713,32606,132,Ruby,['Ruby'],2015-06-13T18:25:17Z,2025-03-03T20:47:34Z
